name,rank
HoPiKo,65
The Bug Butcher,80
Battlefield 1,87
Rock Band Rivals,82
Skylanders Imaginators,78
Gears of War 4,84
Duke Nukem 3D: 20th Anniversary World Tour,70
Warhammer: End Times - Vermintide,77
EVERSPACE,84
Toy Odyssey: The Lost and Found,71
Destiny: Rise of Iron,73
Killer Instinct: Definitive Edition,86
Batman: The Telltale Series,67
BioShock: The Collection,84
Pac-Man Championship Edition 2,77
Jotun: Valhalla Edition,73
King Oddball,64
Stardust Galaxy Warriors: Stellar Climax,85
Dogos,63
The Turing Test,80
Livelock,77
Attack on Titan,77
Hue,78
Solar Shifter EX,53
#KILLALLZOMBIES,53
Overcooked!,80
Action News Heroes,49
Dungeon Punks,71
Cast of the Seven Godsends: Redux,61
Maldita Castilla EX: Cursed Castilla,81
Ninja Pizza Girl,63
10 Second Ninja X,82
FRU,84
The Solus Project,69
Ghostbusters,32
Super Mutant Alien Assault,62
Anarcute,74
HAWKEN,73
Ethan: Meteor Hunter,44
INSIDE,93
7 Days to Die,35
Tom Clancy's The Division - Underground,69
Monochroma,66
Heart&Slash,68
Lumo,73
Mighty No. 9,55
Deadlight: Director's Cut,69
Pac-Man 256,80
Bard's Gold,63
Trials of the Blood Dragon,57
Fenix Furia,72
In Between,68
Mirror's Edge Catalyst,72
Kick & Fennick,61
Hard Reset Redux,67
TurnOn,67
Neon Chrome,72
One Piece: Burning Blood,60
Teenage Mutant Ninja Turtles: Mutants in Manhattan,55
Not A Hero: Super Snazzy Edition,75
Overwatch,91
Homefront: The Revolution,49
DOOM,87
GunWorld 2,59
Raiden V,75
Mystery Castle,73
Battleborn,71
SUPERHOT,83
Paranautical Activity,48
Party Hard,51
Skyling: Garden Defense,50
Gear Gauntlet,69
Stikbold! A Dodgeball Adventure,72
Quantum Break,77
Organic Panic,66
Steredenn,79
Active Soccer 2 DX,53
Gryphon Knight Epic,61
Killer Instinct Season 3,86
101 Ways to Die,71
Shred It!,53
Shadow Complex Remastered,74
Shantae and the Pirate's Curse,79
Joe Dever's Lone Wolf Console Edition,71
Tetrobot and Co.,71
MagNets: Fully Charged,49
Ori and the Blind Forest: Definitive Edition,88
Teslagrad,76
Tom Clancy's The Division,80
Action Henk,72
Gunscape,60
Screencheat,72
Tiny Troopers: Joint Ops,62
Plants vs Zombies: Garden Warfare 2,80
Far Cry Primal,77
Wondershot,65
Q*bert: Rebooted: The XBOX One @!#?@! Edition,56
In Space We Brawl: Full Arsenal Edition,49
Factotum 90,71
Unravel,75
Naruto Shippuden: Ultimate Ninja Storm 4,80
Fortified,69
Cobalt,66
AIPD - Artificial Intelligence Police Department,70
"LEVEL 22, Gary's Misadventures",68
Amazing Princess Sarah,72
Electronic Super Joy,77
A Boy and His Blob,66
ZHEROS,57
Rebel Galaxy,76
Hyperdrive Massacre,73
Lovely Planet,65
Unepic,75
Hyper Void,66
Starwhal,69
Baseball Riot,62
Rock Zombie,42
Chivalry: Medieval Warfare,51
Tom Clancy's Rainbow Six Siege,74
Kung Fu Panda: Showdown of Legendary Legends,68
Star Wars Battlefront,75
Game of Thrones: Episode Six - The Ice Dragon,80
Knight Squad,71
Call of Duty: Black Ops III,81
The Peanuts Movie: Snoopy's Grand Adventure,60
Halo 5: Guardians,84
WWE 2K16,72
Guitar Hero Live,81
Just Dance 2016,66
Christopher Brookmyre's Bedlam,59
Laserlife,64
Crimsonland,69
Teslapunk,70
Rock Band 4,79
Transformers: Devastation,75
The Escapists: The Walking Dead,65
"Guns, Gore & Cannoli",69
NBA 2K16,86
Extreme Exorcism,64
Penarium,72
Skylanders SuperChargers,76
Inside My Radio,62
Destiny: The Taken King,89
Leo's Fortune,72
Lovers in a Dangerous Spacetime,82
Castle Crashers Remastered,83
Mad Max,72
The Deer God,59
Gears of War: Ultimate Edition,82
Giana Sisters: Dream Runners,32
Velocity 2X,84
Zombi,72
Beatbuddy: Tale of the Guardians,67
Call of Duty: Advanced Warfare - Reckoning,75
World of Tanks,76
Game of Thrones: Episode Five - A Nest of Vipers,72
No Time to Explain,52
So Many Me,82
Tachyon Project,74
Payday 2: Crimewave Edition,65
SteamWorld Dig,83
The Swapper,92
Call of Duty: Advanced Warfare - Supremacy,71
BADLAND: Game of the Year Edition,69
Beach Buggy Racing,65
Rogue Legacy,84
Game of Thrones: Episode Four - Sons of Winter,80
Spy Chameleon,71
Mega Coin Squad,74
Destiny: House of Wolves,71
Schrodinger's Cat and the Raiders of the Lost Quark,67
Ultratron,74
Wolfenstein: The Old Blood,75
Project Root,38
Infinity Runner,44
Shovel Knight,86
WE ARE DOOMED,58
Mortal Kombat X,86
Tower of Guns,71
Stealth Inc 2: A Game of Clones,82
Call of Duty: Advanced Warfare - Ascendance,75
Oddworld: Abe's Oddysee - New 'n' Tasty,86
Game of Thrones: Episode Three - The Sword in the Darkness,80
Ziggurat,77
Fruit Ninja Kinect 2,69
Battlefield Hardline,71
Bladestorm: Nightmare,48
LA Cops,49
Ori and the Blind Forest,88
Far Cry 4: Valley of the Yetis,76
White Night,61
Zombie Army Trilogy,62
Shiftlings,63
Pinball FX 2: Iron and Steel Pack,74
Dragon Ball: Xenoverse,67
Dynasty Warriors 8 Empires,58
Blue Estate,51
Dead or Alive 5: Last Round,69
The Escapists,74
Evolve,74
Game of Thrones: Episode Two - The Lost Lords,76
Unmechanical: Extended Edition,66
#IDARB,77
Call of Duty: Advanced Warfare - Havoc,72
Funk of Titans,43
Sunset Overdrive and the Mystery of the Mooil Rig!,65
Kalimba,81
Lara Croft and the Temple of Osiris,72
Destiny: The Dark Below,59
LIMBO,85
Game of Thrones: Episode One - Iron From Ice,80
Geometry Wars 3: Dimensions,82
Never Alone,66
Rabbids Invasion,53
Far Cry 4,82
WWE 2K15,56
Terraria,84
Halo: The Master Chief Collection,85
Pro Evolution Soccer 2015,79
Rocksmith 2014 Edition,72
Call of Duty: Advanced Warfare,81
Volgarr the Viking,77
Sunset Overdrive,81
Shadow Warrior,74
Fantasia: Music Evolved,77
Just Dance 2015,70
Skylanders Trap Team,78
Chariot,73
Killer Instinct Season 2,85
D4: Dark Dreams Don't Die,76
Flockers,65
Destiny,75
Warriors Orochi 3 Ultimate,73
Dance Central Spotlight,74
Warframe,62
Stick it to the Man!,76
Metro Redux,84
Pinball FX 2,85
Titanfall: Frontier's Edge,75
Guacamelee! Super Turbo Championship Edition,88
Sniper Elite III,63
Valiant Hearts: The Great War,81
Another World: 20th Anniversary Edition,65
Zombie Driver: Ultimate Edition,61
Sixty Second Shooter Prime,61
Super Ultra Dead Rising 3' Arcade Remix Hyper Edition EX Plus Alpha,75
Murdered: Soul Suspect,51
Call of Duty: Ghosts - Invasion,73
Wolfenstein: The New Order,79
Titanfall: Expedition,73
Super Time Force,80
Nutjitsu,50
Child of Light,82
The Amazing Spider-Man 2,46
Battlefield 4: Naval Strike,61
Strike Suit Zero: Director's Cut,67
Call of Duty: Ghosts - Devastation,70
Dead Rising 3: The Last Agent,51
Titanfall,86
Project Spark,73
Plants vs Zombies: Garden Warfare,76
Dead Rising 3: Chaos Rising,50
Rayman Legends,91
Dead Rising 3: Fallen Angel,56
Call of Duty: Ghosts - Onslaught,65
Dead Rising 3: Operation Broken Eagle,52
Halo: Spartan Assault,53
Peggle 2,77
Killer Instinct,73
Dead Rising 3,78
Crimson Dragon,55
Angry Birds Star Wars,53
Call of Duty: Ghosts,78
Battlefield 4,81
Just Dance 2014,71
