name,rank
Volgarr the Viking,80
Lovers in a Dangerous Spacetime,84
One Piece: Unlimited World Red - Deluxe Edition,68
INVERSUS Deluxe,70
Astro Bears Party,57
Deemo,88
Binaries,60
BUTCHER,70
Dragon Ball: Xenoverse 2,75
Pokken Tournament DX,79
SteamWorld Dig 2,88
Robonauts,71
Semispheres,72
36 Fragments of Midnight,37
Rayman Legends: Definitive Edition,84
NeuroVoider,85
League of Evil,64
Mario + Rabbids: Kingdom Battle,85
Piczle Lines DX,75
Forma.8,76
Sonic Mania,86
Sine Mora EX,70
Puzzle Adventure Blockle,64
Gunbarich,66
Strikers 1945,73
Ultra Hyperball,61
Overcooked!: Special Edition,77
Fate/Extella: The Umbral Star,69
Splatoon 2,83
I and Me,60
Death Squared,78
De Mambo,69
Implosion - Never Lose Hope,74
GoNNER,79
Cave Story +,88
ARMS,77
Mighty Gunvolt Burst,76
Shantae: Half-Genie Hero,82
Astro Duel Deluxe,59
Ultra Street Fighter II: The Final Challengers,66
Thumper,85
TumbleSeed,78
ACA NeoGeo: Blazing Star,84
Mr. Shifty,66
Graceful Explosion Machine,77
Snake Pass,72
The Binding of Isaac: Afterbirth +,85
World of Goo,84
Little Inferno,71
ACA NeoGeo: Metal Slug 3,76
VOEZ,81
Blaster Master Zero,78
ACA NeoGeo: The King of Fighters '98,80
ACA NeoGeo: Shock Troopers,70
ACA NeoGeo: World Heroes Perfect,58
ACA NeoGeo: Waku Waku 7,73
Just Dance 2017,72
Super Bomberman R,62
Shovel Knight: Treasure Trove,91
Skylanders Imaginators,72
Shovel Knight: Specter of Torment,84
