name,rank
Marvel's Guardians of the Galaxy - Episode 1: Tangled Up in Blue,72
Call of Duty: Infinite Warfare - Continuum,75
VR Invaders: Complete Edition,68
Flinthook,76
Rolling Bob,58
Aaero,77
Yooka-Laylee,68
Starblood Arena,68
Kero Blaster,79
Bulletstorm: Full Clip Edition,75
Drawn to Death,56
PaRappa the Rapper Remastered,61
Mortal Blitz,59
Rain World,59
Snake Pass,69
Anoxemia,60
88 Heroes,72
Touhou Double Focus,60
Momodora: Reverie Under the Moonlight,76
NeuroVoider,76
Chaos Code: New Sign of Catastrophe,66
Death Squared,72
The Walking Dead: The Telltale Series - A New Frontier,73
Ghost Blade HD,62
A Pixel Story,67
Forma.8,78
Psychonauts in The Rhombus of Ruin,71
Berserk and the Band of the Hawk,66
Malicious Fallen,62
Typoman: Revised,75
Sniper Elite 4,77
Semispheres,72
Flywrench,78
iO,68
Kitty Powers' Matchmaker,72
8DAYS,61
Naruto Shippuden: Ultimate Ninja Storm 4 - Road to Boruto Expansion,70
DEXED,65
Linelight,77
Call of Duty: Infinite Warfare - Sabotage,76
Pinball FX 2: Star Wars Pinball - Rogue One,74
Double Dragon IV,49
The Turing Test,74
Gravity Rush 2,80
Fate/Extella: The Umbral Star,67
Mighty Morphin Power Rangers: Mega Battle,49
Hatsune Miku: Project Diva Future Tone - Colorful Tone,84
Hatsune Miku: Project Diva Future Tone - Future Sound,84
Spheroids,45
The Walking Dead: The Telltale Series - A New Frontier Episode 2: Ties That Bind Part Two,80
The Walking Dead: The Telltale Series - A New Frontier Episode 1: Ties That Bind Part One,80
Shantae: Half-Genie Hero,81
Wild Guns Reloaded,74
Lethal VR,56
Maldita Castilla EX: Cursed Castilla,73
Feist,54
Zen Pinball 2: Bethesda Pinball,79
Let It Die,72
Mother Russia Bleeds,73
Ultimate Marvel vs. Capcom 3,77
Pinball FX2 VR,80
How We Soar,67
A King's Tale: Final Fantasy XV,65
Killing Floor 2,75
Space Rift: Episode 1,48
Eagle Flight,73
Xenoraid,65
Cartoon Network: Battle Crashers,21
Call of Duty: Infinite Warfare,77
Call of Duty: Modern Warfare Remastered,83
Super Dungeon Bros,43
BlazBlue: Central Fiction,84
Earth's Dawn,68
Titanfall 2,89
Carnival Games VR,58
Tethered,76
Dragon Ball: Xenoverse 2,72
Exile's End,63
Just Dance 2017,73
Ginger: Beyond the Crystal,61
Pixel Gear,51
Battlefield 1,89
Skylanders Imaginators,79
Rez Infinite,89
EVE: Valkyrie,71
Job Simulator,71
Battlezone,66
Until Dawn: Rush of Blood,72
Hatsune Miku VR: Future Live,61
Ace Banana,40
Waddle Home,57
The Brookhaven Experiment,68
Batman: Arkham VR,74
Duke Nukem 3D: 20th Anniversary World Tour,77
Thumper,84
Wayward Sky,72
Harmonix Music VR,44
Super Stardust Ultra VR,66
Shu,77
Warhammer: End Times - Vermintide,73
A Bastard's Tale,48
Rogue Stormers,69
Viking Squad,69
Destiny: Rise of Iron,72
Slain: Back from Hell,68
Star Wars Battlefront: Death Star,70
Filthy Lucre,61
Blue Rider,62
RIVE,75
Batman: The Telltale Series,68
BioShock: The Collection,84
Pac-Man Championship Edition 2,77
Jotun: Valhalla Edition,72
140,72
Touhou Genso Rondo: Bullet Ballet,55
Just Sing,60
Dogos,53
Call of Duty: Black Ops III - Salvation,74
Nebulous,62
One Way Trip,41
Livelock,69
Strike Vector EX,75
Hatsune Miku: Project Diva X,78
Attack on Titan,74
Verdun,56
Binaries,71
Hue,77
The King of Fighters XIV,79
Metrico+,81
INSIDE,91
Bound,71
Inversus,79
No Man's Sky,71
DOOM: Unto The Evil,75
Gal*Gun: Double Peace,64
Overcooked!,78
Headlander,77
Chambara,71
Mutant Mudds: Super Challenge,78
10 Second Ninja X,76
Orc Slayer,15
ADR1FT,56
Assault Suit Leynos,67
Super Mutant Alien Assault,67
MilitAnt,44
Kill Strain,53
Daydreamer: Awakened Edition,68
Ghostbusters,30
Call of Duty: Black Ops III - Descent,68
HAWKEN,58
Furi,77
JoJo's Bizarre Adventure: Eyes of Heaven,61
7 Days to Die,45
Heart&Slash,76
Tom Clancy's The Division - Underground,64
Mighty No. 9,52
Umbrella Corps,38
Deadlight: Director's Cut,70
Pac-Man 256,79
Bard's Gold,64
Trials of the Blood Dragon,55
Mirror's Edge Catalyst,69
Fenix Furia,71
Guilty Gear Xrd -REVELATOR-,86
Hard Reset Redux,69
Kick & Fennick,73
Dead Island: Retro Revenge,65
Neon Chrome,63
Shadow Blade: Reload,63
One Piece: Burning Blood,66
Score Rush Extended,80
Lumo,73
Teenage Mutant Ninja Turtles: Mutants in Manhattan,44
Downwell,80
RETSNOM,60
Overwatch,90
Life Goes On: Done to Death,77
Homefront: The Revolution,48
Soft Body,69
My Night Job,60
Perfect Universe,56
DOOM,85
Battleborn,68
Shadow Complex Remastered,80
Rocketbirds 2: Evolution,67
Alienation,79
Party Hard,65
ZEN Pinball 2: Aliens Vs. Pinball,84
The Sun and Moon,64
Pang Adventures,63
LOUD on Planet X,72
Call of Duty: Black Ops III - Eclipse,74
Ratchet & Clank,85
Risk of Rain,81
Shantae and the Pirate's Curse,75
Enter the Gungeon,82
Dead Star,70
Stikbold! A Dodgeball Adventure,75
Star Wars Battlefront: Outer Rim,70
Bounce Rescue!,56
Organic Panic,75
Unepic,66
101 Ways to Die,60
Catlateral Damage,57
Joe Dever's Lone Wolf Console Edition,79
Salt and Sanctuary,84
Senran Kagura: Estival Versus,67
Samurai Warriors 4 Empires,71
Candlelight,69
Tom Clancy's The Division,80
Assault Android Cactus,85
Action Henk,73
"Don't Die, Mr. Robot!",71
Broforce,68
Screencheat,69
Mortal Kombat XL,85
Gunscape,61
Foul Play,66
Plants vs Zombies: Garden Warfare 2,81
Far Cry Primal,76
Ninja Senki DX,64
Toki Tori 2 +,78
Street Fighter V,77
The Escapists: The Walking Dead,63
TRON RUN/r,64
Mitsurugi Kamui Hikae,58
Unravel,78
Naruto Shippuden: Ultimate Ninja Storm 4,79
Arslan: The Warriors of Legend,69
Lovers in a Dangerous Spacetime,82
Not a Hero,74
Gravity Rush Remastered,80
Nitroplus Blasterz: Heroines Infinite Duel,70
Call of Duty: Black Ops III - Awakening,74
Amazing Discoveries In Outer Space,71
AIPD - Artificial Intelligence Police Department,62
Croixleur Sigma,71
Klaus,76
World of Tanks,80
A Boy and His Blob,66
Tachyon Project,71
Attractio,58
Stardust Vanguards,63
Star Wars Pinball: The Force Awakens,81
Amplitude,74
Rebel Galaxy,64
Infinifactory,70
Trine 3: The Artifacts of Power,65
Earth Defense Force 4.1: The Shadow of New Despair,64
Zotrix,57
Nuclear Throne,82
GUNS UP!,54
Fat Princess Adventures,63
Dariusburst: Chronicle Saviours,80
Tom Clancy's Rainbow Six Siege,73
Kung Fu Panda: Showdown of Legendary Legends,63
Chivalry: Medieval Warfare,58
Star Wars Battlefront,73
Game of Thrones: A Telltale Games Series,69
Game of Thrones: Episode Six - The Ice Dragon,75
Deadpool,60
Call of Duty: Black Ops III,81
The Peanuts Movie: Snoopy's Grand Adventure,59
PONCHO,63
WWE 2K16,73
Now That's What I Call Sing,55
Primal Carnage: Extinction,46
Guitar Hero Live,80
Just Dance 2016,73
ZEN Pinball 2: Balls of Glory,78
Kromaia Omega,68
Dragon Quest Heroes: The World Tree's Woe and the Blight Below,77
Bedlam: The Game by Christopher Brookmyre,53
One Upon Light,59
Rock Band 4,78
Saint Seiya: Soldiers' Soul,59
Super Meat Boy,85
Transformers: Devastation,77
Samurai Warriors 4-II,73
NBA 2K16,87
Extreme Exorcism,74
Afro Samurai 2: Revenge of Kuma Volume One,21
Penarium,71
Laserlife,65
Skylanders SuperChargers,81
Destiny: The Taken King,86
Hyper Void,70
Leo's Fortune,66
Mad Max,69
Super Time Force Ultra,82
Zombie Vikings,64
Xeodrifter,77
One Piece: Pirate Warriors 3,74
Back to Bed,62
Giana Sisters: Dream Runners,37
Volume,71
Zombi,71
Curses 'N Chaos,70
Adventures of Pip,74
Everybody's Gone to the Rapture,78
Commander Cherry's Puzzled Journey,53
Galak-Z: The Dimensional,82
N++,82
Velocibox,62
The Swindle,73
Phantom Breaker: Battle Grounds Overdrive,72
Journey,92
Game of Thrones: Episode Five - A Nest of Vipers,77
ZEN Pinball 2: Ant-Man Pinball,81
Godzilla,38
Skullgirls: 2nd Encore,82
J-Stars Victory Vs+,61
BlazBlue: Chrono Phantasma Extend,80
Red Goddess: Inner World,49
Astebreed,82
PlanetSide 2,78
Shantae: Risky's Revenge - Director's Cut,74
Payday 2: Crimewave Edition,71
The Escapists,71
Ultra Street Fighter IV,71
BADLAND: Game of the Year Edition,76
Game of Thrones: Episode Four - Sons of Winter,73
ZEN Pinball 2: Portal Pinball,83
Destiny: House of Wolves,72
Nom Nom Galaxy,70
Color Guardians,62
Lost Orbit,77
Schrodinger's Cat and the Raiders of the Lost Quark,61
Wolfenstein: The Old Blood,76
Project Root,45
ZEN Pinball 2: Star Wars Rebels,88
BRAWL,62
ZEN Pinball 2: Marvel's Avengers: Age of Ultron,65
Shovel Knight,90
Infinity Runner,45
Ziggurat,80
Titan Souls,73
Mortal Kombat X,83
Teslagrad,78
WE ARE DOOMED,61
Tower of Guns,69
Aaru's Awakening,59
Krinkle Krusher,50
Stealth Inc 2: A Game of Clones,74
Rack N Ruin,59
Toukiden: Kiwami,74
Paperbound,69
Game of Thrones: Episode Three - The Sword in the Darkness,70
Jamestown+,83
Battlefield Hardline,73
Bladestorm: Nightmare,58
Hotline Miami 2: Wrong Number,75
Far Cry 4: Valley of the Yetis,74
Sniper Elite III: Ultimate Edition,74
Helldivers,81
Shiftlings,63
Zombie Army Trilogy,62
Scram Kitty DX,74
ZEN Pinball 2: Iron & Steel Pack,82
Starwhal,78
Dragon Ball: Xenoverse,69
Dynasty Warriors 8 Empires,63
The Order: 1886,63
Dead or Alive 5: Last Round,74
Pillar,59
Q*bert: Rebooted,44
Resogun: Defenders,85
Evolve,76
Unmechanical: Extended Edition,75
Minutes,76
Super Stardust Ultra,74
Apotheon,76
Game of Thrones: Episode Two - The Lost Lords,69
Far Cry 4: Escape from Durgesh Prison,56
Switch Galaxy Ultra,70
Guilty Gear Xrd -SIGN-,84
Loadout,59
Lara Croft and the Temple of Osiris,74
Tennis in the Face,68
Destiny: The Dark Below,63
Giana Sisters: Twisted Dreams - Director's Cut,80
Rock Boshers DX: Director's Cut,74
Secret Ponchos,64
Game of Thrones: Episode One - Iron From Ice,77
Geometry Wars 3: Dimensions,85
Aqua Kitty: Milk Mine Defender DX,74
Tiny Troopers: Joint Ops,65
WWE 2K15,62
Far Cry 4,85
Never Alone,73
Rollers of the Realm,75
LittleBigPlanet 3,79
Pro Evolution Soccer 2015,82
Terraria,83
Nano Assault NEO-X,66
The Binding of Isaac: Rebirth,88
Rocksmith 2014 Edition,82
Call of Duty: Advanced Warfare,83
#KILLALLZOMBIES,63
The Unfinished Swan,83
Shadow Warrior,70
Race the Sun,76
Samurai Warriors 4,76
Just Dance 2015,72
Fluster Cluck,37
The Walking Dead: Season Two - A Telltale Games Series,81
Peggle 2,72
ZEN Pinball 2: South Park: Super-Sweet Pinball,84
In Space We Brawl,54
Pix the Cat,80
Skylanders Trap Team,78
Chariot,76
Futuridium EP Deluxe,73
Flockers,61
KickBeat: Special Edition,60
Air Conflicts: Vietnam Ultimate Edition,30
Destiny,76
Velocity 2X,86
Warriors Orochi 3 Ultimate,77
Metro Redux,83
ZEN Pinball 2: The Walking Dead,83
CounterSpy,67
Plants vs Zombies: Garden Warfare,75
The Last Tinker: City of Colors,66
The Swapper,83
Rogue Legacy,85
Oddworld: Abe's Oddysee - New 'n' Tasty,84
Crimsonland,64
MouseCraft,72
Another World: 20th Anniversary Edition,53
Sniper Elite III,67
Guacamelee! Super Turbo Championship Edition,87
Valiant Hearts: The Great War,77
Resogun: Heroes,86
Killzone: Shadow Fall - Intercept,72
Blue Estate,49
Entwined,59
War Thunder,76
1001 Spikes,78
Murdered: Soul Suspect,59
PixelJunk Shooter Ultimate,82
Wolfenstein: The New Order,79
Sparkle 2,66
Titan Attacks!,74
Stick it to the Man!,75
Child of Light,82
The Amazing Spider-Man 2,49
Star Wars Pinball: Heroes Within,80
Strike Suit Zero: Director's Cut,68
King Oddball,64
Mercenary Kings,70
Fez,90
Dynasty Warriors 8: Xtreme Legends Complete Edition,69
SteamWorld Dig,82
Putty Squad,38
TowerFall Ascension,87
Dead Nation: Apocalypse Edition,74
Basement Crawl,27
Rayman Legends,90
ZEN Pinball 2,82
The Pinball Arcade,82
Tiny Brains,64
Escape Plan,73
Knack,54
Killzone: Shadow Fall,73
Blacklight: Retribution,58
Call of Duty: Ghosts,78
Skylanders Swap Force,79
Contrast,59
Resogun,84
Super Motherload,65
Sound Shapes,84
Angry Birds Star Wars,47
Trine 2: Complete Story,84
Battlefield 4,85
Warframe,64
Just Dance 2014,75
Injustice: Gods Among Us - Ultimate Edition,80
